id,name,district_id:id,tier_id:id,region_id:id,state_id:id,zip
pattoki_station_id,PATTOKI,update_contact_kkn.district_kasur,tier_3,,,55300
atheel_pur_station_id,ATHEEL PUR,update_contact_kkn.district_kasur,tier_3,,,
bhai_pheru_station_id,BHAI PHERU,update_contact_kkn.district_kasur,tier_3,,,
bhoe_asal_station_id,BHOE ASAL,update_contact_kkn.district_kasur,tier_3,,,
chunian_station_id,CHUNIAN,update_contact_kkn.district_kasur,tier_3,,,
elahabad_station_id,ELAHABAD,update_contact_kkn.district_kasur,tier_3,,,
kasur_station_id,KASUR,update_contact_kkn.district_kasur,tier_2,,,
khurian_khas_station_id,KHURIAN KHAS,update_contact_kkn.district_kasur,tier_3,,,
kot_radha_kishan_station_id,KOT RADHA KISHAN,update_contact_kkn.district_kasur,tier_3,,,
mustafabad_station_id,MUSTAFABAD,update_contact_kkn.district_kasur,tier_3,,,
usman_wala_station_id,USMAN WALA,update_contact_kkn.district_kasur,tier_3,,,
ahdian_station_id,AHDIAN,update_contact_kkn.district_sheikhupura,tier_3,,,
ajnia_wala_station_id,AJNIA WALA,update_contact_kkn.district_sheikhupura,,,,
akhtar_abad_station_id,AKHTAR ABAD,update_contact_kkn.district_okara,,,,
arif_wala_station_id,ARIF WALA,update_contact_kkn.district_pakpattan,tier_3,,,
babakwal_station_id,BABAKWAL,update_contact_kkn.district_sheikhupura,,,,
bakhshu_station_id,BAKHSHU,update_contact_kkn.district_okara,,,,
bama_bala_station_id,BAMA BALA,update_contact_kkn.district_okara,,,,
basir_pur_station_id,BASIR PUR,update_contact_kkn.district_okara,,,,
bhar_pura_station_id,BHAR PURA,update_contact_kkn.district_okara,,,,
bhikhy_station_id,BHIKHY,update_contact_kkn.district_sheikhupura,,,,
bhuman_shah_station_id,BHUMAN SHAH,update_contact_kkn.district_okara,,,,
bhutta_mohabbat_station_id,BHUTTA MOHABBAT,update_contact_kkn.district_okara,,,,
bonga_hayat_station_id,BONGA HAYAT,update_contact_kkn.district_pakpattan,,,,
bonga_saleh_station_id,BONGA SALEH,update_contact_kkn.district_okara,,,,
bucheki_station_id,BUCHEKI,update_contact_kkn.district_nankana_sahib,tier_3,,,
burj_atari_station_id,BURJ ATARI,update_contact_kkn.district_sheikhupura,,,,
chak_100_-_a/6-r_station_id,CHAK 100 - A/6-R,update_contact_kkn.district_sahiwal,,,,
chak_108/7-r_station_id,CHAK 108/7-R,update_contact_kkn.district_sahiwal,,,,
chak_110/9-l_station_id,CHAK 110/9-L,update_contact_kkn.district_sahiwal,,,,
chak_115/12-l_station_id,CHAK 115/12-L,update_contact_kkn.district_sahiwal,,,,
chak_120/7_er_station_id,CHAK 120/7 ER,update_contact_kkn.district_sahiwal,,,,
chak_121_eb_station_id,CHAK 121 EB,update_contact_kkn.district_pakpattan,,,,
chak_138/9-l_station_id,CHAK 138/9-L,update_contact_kkn.district_sahiwal,,,,
chak_14/1_-l_station_id,CHAK 14/1 -L,update_contact_kkn.district_okara,,,,
chak_140/9-l_(149/9-l)_station_id,CHAK 140/9-L (149/9-L),update_contact_kkn.district_sahiwal,,,,
chak_145/9-l_station_id,CHAK 145/9-L,update_contact_kkn.district_sahiwal,,,,
chak_149/eb_station_id,CHAK 149/EB,update_contact_kkn.district_pakpattan,,,,
chak_15_-sp_station_id,CHAK 15 -SP,update_contact_kkn.district_pakpattan,,,,
chak_166/9-l_station_id,CHAK 166/9-L,update_contact_kkn.district_sahiwal,,,,
chak_168/9-l_station_id,CHAK 168/9-L,update_contact_kkn.district_sahiwal,,,,
chak_174a/9l_station_id,CHAK 174A/9L,update_contact_kkn.district_sahiwal,,,,
chak_176/9-l_station_id,CHAK 176/9-L,update_contact_kkn.district_sahiwal,,,,
chak_22/sp_station_id,CHAK 22/SP,update_contact_kkn.district_pakpattan,,,,
chak_24-gd_station_id,CHAK 24-GD,update_contact_kkn.district_okara,,,,
chak_26/2-r_station_id,CHAK 26/2-R,update_contact_kkn.district_okara,,,,
chak_32/1-al_station_id,CHAK 32/1-AL,update_contact_kkn.district_okara,,,,
chak_34_/4-l_station_id,CHAK 34 /4-L,update_contact_kkn.district_okara,,,,
chak_34/12-l_station_id,CHAK 34/12-L,update_contact_kkn.district_sahiwal,,,,
chak_35/2-l_station_id,CHAK 35/2-L,update_contact_kkn.district_okara,,,,
chak_353_eb_station_id,CHAK 353 EB,update_contact_kkn.district_pakpattan,,,,
chak_37/12-l_station_id,CHAK 37/12-L,update_contact_kkn.district_sahiwal,,,,
chak_40/3-r_station_id,CHAK 40/3-R,update_contact_kkn.district_okara,,,,
chak_40/d_station_id,CHAK 40/D,update_contact_kkn.district_okara,,,,
chak_42/gd_station_id,CHAK 42/GD,update_contact_kkn.district_okara,,,,
chak_43/d_station_id,CHAK 43/D,update_contact_kkn.district_okara,,,,
chak_45/12-l_station_id,CHAK 45/12-L,update_contact_kkn.district_okara,,,,
chak_47/2-l_station_id,CHAK 47/2-L,update_contact_kkn.district_okara,,,,
chak_51-eb_station_id,CHAK 51-EB,update_contact_kkn.district_pakpattan,,,,
chak_57/4-r_station_id,CHAK 57/4-R,update_contact_kkn.district_sahiwal,,,,
chak_57/gd_station_id,CHAK 57/GD,update_contact_kkn.district_sahiwal,,,,
chak_5-gb_/_sahib_wala_station_id,CHAK 5-GB / SAHIB WALA,update_contact_kkn.district_sheikhupura,,,,
chak_6_/_11-l_station_id,CHAK 6 / 11-L,update_contact_kkn.district_sahiwal,,,,
chak_6/4-l_station_id,CHAK 6/4-L,update_contact_kkn.district_okara,,,,
chak_60/5-l_(burj_wala)_station_id,CHAK 60/5-L (BURJ WALA),update_contact_kkn.district_sahiwal,,,,
chak_62/12-l_station_id,CHAK 62/12-L,update_contact_kkn.district_sahiwal,,,,
chak_65/12-l_station_id,CHAK 65/12-L,update_contact_kkn.district_sahiwal,,,,
chak_67/_eb_station_id,CHAK 67/ EB,update_contact_kkn.district_pakpattan,,,,
chak_67/5-l_(khemkot)_station_id,CHAK 67/5-L (KHEMKOT),update_contact_kkn.district_sahiwal,,,,
chak_7/1-l_station_id,CHAK 7/1-L,update_contact_kkn.district_okara,,,,
chak_71/4-r_station_id,CHAK 71/4-R,update_contact_kkn.district_sahiwal,,,,
chak_77/5-l_station_id,CHAK 77/5-L,update_contact_kkn.district_sahiwal,,,,
chak_8/11-l_station_id,CHAK 8/11-L,update_contact_kkn.district_sahiwal,,,,
chak_8/1-ra_station_id,CHAK 8/1-RA,update_contact_kkn.district_okara,,,,
chak_82/12-l_station_id,CHAK 82/12-L,update_contact_kkn.district_sahiwal,,,,
chak_90_more_station_id,CHAK 90 MORE,update_contact_kkn.district_sahiwal,,,,
chak_93/9-l_station_id,CHAK 93/9-L,update_contact_kkn.district_sahiwal,,,,
chak_94/12-l_station_id,CHAK 94/12-L,update_contact_kkn.district_sahiwal,,,,
chak_99/12l_station_id,CHAK 99/12L,update_contact_kkn.district_sahiwal,,,,
chak_char_rasala_station_id,CHAK CHAR RASALA,update_contact_kkn.district_sheikhupura,,,,
chak_dal_varyam_station_id,CHAK DAL VARYAM,update_contact_kkn.district_pakpattan,,,,
chak_haidarabad_station_id,CHAK HAIDARABAD,update_contact_kkn.district_sheikhupura,,,,
chak_jeven_shah_station_id,CHAK JEVEN SHAH,update_contact_kkn.district_pakpattan,,,,
chak_pir_sadar_din_station_id,CHAK PIR SADAR DIN,update_contact_kkn.district_pakpattan,,,,
chak_shafi_station_id,CHAK SHAFI,update_contact_kkn.district_pakpattan,,,,
chand_pur_station_id,CHAND PUR,update_contact_kkn.district_sheikhupura,,,,
chicha_watni_station_id,CHICHA WATNI,update_contact_kkn.district_sahiwal,tier_3,,,
chicho_ki_malian_station_id,CHICHO KI MALIAN,update_contact_kkn.district_sheikhupura,,,,
churasta_mian_khan_station_id,CHURASTA MIAN KHAN,update_contact_kkn.district_okara,,,,
dala_wahgah_station_id,DALA WAHGAH,update_contact_kkn.district_sheikhupura,,,,
darbar_ghous_bala_pir_station_id,DARBAR GHOUS BALA PIR,update_contact_kkn.district_okara,,,,
darbar_kot_station_id,DARBAR KOT,update_contact_kkn.district_sheikhupura,,,,
depalpur_station_id,DEPALPUR,update_contact_kkn.district_okara,tier_2,,,
dharowali_station_id,DHAROWALI,update_contact_kkn.district_sheikhupura,,,,
